,TimeStamp,D1_Commanded_Torque,D1_DC_Bus_Voltage,D2_Motor_Speed,IVT_Result_I,Wheel_Speed,Power,Incremental_Energy,Total_Energy,adjusted_time_ms,time_on_video
3678,1718634563547.0583,24.7307,517.175,310.059,2.1575900000000003,2.387961276717949,1115.85160825,10.04266447425,8786.819323880803,33165022.35137318,552:45.02
3679,1718634563556.0583,24.6,516.663,331.423,2.04308,2.552499008942469,1055.5838420399998,9.500254578359998,8796.319578459163,33165030.069646385,552:45.03
3680,1718634563565.058,24.0615,516.85,367.48,2.2095700000000003,2.830196865655607,1142.0162545000003,10.278146290500002,8806.597724749663,33165037.787919585,552:45.04
3681,1718634563574.0579,23.8,516.357,406.917,2.40346,3.133926248998538,1241.0433952199999,11.169390556979998,8817.767115306642,33165045.506192785,552:45.05
3682,1718634563583.0576,23.8,516.093,441.421,2.6897399999999996,3.3996634664051477,1388.1559858199996,12.493403872379995,8830.260519179023,33165053.224465985,552:45.05
3683,1718634563592.0571,23.8,515.894,462.867,2.97602,3.5648327327076688,1535.3108618800002,13.817797756920001,8844.078316935942,33165060.942739185,552:45.06
3684,1718634563601.0571,25.0114,515.5,457.762,3.14085,3.525515885534565,1619.1081749999998,14.571973574999998,8858.650290510943,33165068.661012385,552:45.07
3685,1718634563610.057,27.8882,515.893,423.154,3.29148,3.258977698077808,1698.05149164,15.28246342476,8873.932753935704,33165076.379285585,552:45.08
3686,1718634563619.0566,29.0,515.807,379.402,3.10383,2.9220157592888554,1600.97724081,14.408795167289998,8888.341549102994,33165084.097558785,552:45.08
3687,1718634563628.0564,25.5007,516.68,344.145,2.8230399999999998,2.6504792106537742,1458.6083071999997,13.127474764799995,8901.469023867794,33165091.815831985,552:45.09
3688,1718634563637.056,23.8,517.375,326.506,2.56204,2.514630069167709,1325.535445,11.929819004999999,8913.398842872793,33165099.53410519,552:45.10
3689,1718634563646.056,25.4149,517.312,331.988,2.31647,2.5568504327725963,1198.33772864,10.78503955776,8924.183882430554,33165107.25237839,552:45.11
3690,1718634563655.0557,26.2,516.838,360.908,2.19062,2.779581719794367,1132.19565956,10.189760936039999,8934.373643366594,33165114.97065159,552:45.11
3691,1718634563664.0554,25.5272,516.625,401.03,2.46917,3.0885867231791337,1275.63495125,11.48071456125,8945.854357927845,33165122.68892479,552:45.12
3692,1718634563673.0552,25.2,516.463,436.412,2.746,3.361085976201412,1418.207398,12.763866581999999,8958.618224509844,33165130.40719799,552:45.13
3693,1718634563682.0547,24.7963,516.312,459.548,2.99863,3.5392710058188284,1548.22865256,13.934057873039999,8972.552282382885,33165138.12547119,552:45.14
3694,1718634563691.0547,24.8691,516.288,459.137,3.24973,3.5361056337937264,1677.79660224,15.10016942016,8987.652451803046,33165145.84374439,552:45.15
3695,1718634563700.0544,25.0,516.425,429.413,3.17984,3.3071822321535085,1642.1488719999998,14.779339847999998,9002.431791651046,33165153.56201759,552:45.15
3696,1718634563709.054,25.1345,516.488,387.415,3.0214499999999997,2.9837289613256974,1560.5426676,14.044884008399999,9016.476675659445,33165161.28029079,552:45.16
3697,1718634563718.0537,25.2,516.962,352.154,2.75541,2.7121616061502247,1424.44226442,12.819980379779999,9029.296656039225,33165168.998563994,552:45.17
3698,1718634563727.0535,25.2,516.839,337.316,2.40532,2.5978847445724575,1243.1631834800003,11.188468651320001,9040.485124690545,33165176.716837194,552:45.18
3699,1718634563736.0532,25.2,516.512,346.668,2.21568,2.669910436004947,1144.4253081599998,10.299827773439997,9050.784952463986,33165184.435110394,552:45.18
3700,1718634563745.0527,25.0655,515.758,376.335,2.33852,2.8983948444446037,1206.1103981600002,10.85499358344,9061.639946047426,33165192.153383594,552:45.19
